"SHIPPER_CD","SHIPPER_NM"
B5307,DIVINE COLLECTION
B5308,INTERNATIONAL LEATHER GOODS
B5309,HT Media Limited
B5310,MILLENIUM EXPORT
B5311,JAI BHAWANI INDUSTRIES
B5312,VISAGE BEAUTY AND HEALTH CARE PVT LTD
B5313,GASTEK ENGINEERING PVT LTD
B5314,SURI SHOES PVT LTD
B5315,SHREE KRISHNA IMPEX
B5316,AL FAHEEM MEATEX PVT.LTD.
B5317,BENNETT COLEMAN AND CO LTD
B5318,SILVERTON PULP AND PAPERS PVT. LTD.
B5319,CHADHA PAPERS LTD
B5320,SIDDHESHWARI INDUSTRIES PVT LTD
B5321,UPPER INDIA TANNERY PVT. LTD
B5322,SHREE MADHAV STONE CRAFT
B5323,MLJ IMPEX LTD
B5324,Prima Telecom Limited
B5325,METAL INDIA
B5326,SUCHI PAPER MILLS LTD
B5327,MUKUL ENTERPRISES
B5328,SHRI MAHALAXMI TRADERS
B5329,Safari chemicals private limited
B5330,RCI
B5331,STARION INDIA PRIVATE LIMITED
B5332,G K WINDING WIRES LIMITED
B5333,Stable Packaging Private Limited
B5334,RADICON LABORATORIES LIMITED
B5335,Aggarwal Marketing
B5336,KUMAR ROTOFLEX PRIVATE LIMITED
B5337,BINDLAS DUPLUX LIMITED
B5338,ARIHANT PUBLICATIONS INDIA LTD
B5339,SCT LIMITED.
B5340,NATIONAL HANDICRAFTS
B5341,M.B. INDUSTRIES
B5342,AWASTHI SEEDS PRIVATE LIMITED
B5343,CAPITAL POWER SYSTEMS LTD.
B5344,MAGPIE SHIPPING
B5345,RAMVANSH FIBROLOGY PRIVATE LIMITED
B5346,ALIEN ENERGY PVT LTD
B5347,Alexvyan Brothers
B5348,Shiv Overseas
B5349,Y.K. INDUSTRIES
B5350,ANSUN MULTITECH INDIA LTD
B5351,SATI POLYPLAST PVT LTD
B5352,AUTOMOTIVE AND INDUSTRIAL LININGS
B5353,TRADE PERFECTIONS
B5354,CERADECOR INDIA PVT LTD
B5355,VDH CHEM TECH PRIVATE LIMITED
B5356,SRIKARAM PRESCIENCE PVT LTD
B5357,GOYAL CHEMICAL INDUSTRIES
B5358,UFLEX LIMITED
B5359,S.P.R.L. FOODS LIMITED
B5360,ANEST IWATA MOTHERSON PVT. LTD.
B5361,HITECH ULTRAVISION
B5362,Asian Dynasties Grace Industries Limited
B5363,PLASTIC PROCESSORS AND EXPORTERS PVT LTD.
B5364,DENSO INDIA PVT LTD
B5365,Indo Aerospace Solutions Private Limited
B5366,TARUN EXPORT
B5367,XIDA TECHNOLOGY PVT. LTD.
B5368,SUPERTECH LIMITED
B5369,BLUEQUAN SLUTION
B5370,SHIV SHANTI EXIM PVT LTD
B5371,LALITOM FOOD PRODUCTS PRIVATE LIMITED
B5372,RAJESH ENTERPRISES
B5373,YARRA INDUSTRIES P. LTD
B5374,spectrum international
B5375,NAVARUN COMPONENT PVT LTD
B5376,ANORAK ENTERPRISES PVT LTD
B5377,AKOPIN LEATHER & RUBBER INDUSTRIES
B5378,SMARC TEKNOMEC PRIVATE LTD
B5379,Mariyam  Exports
B5380,FOAM SPECIALTIES INDIA PRIVATE LIMITED
B5381,ATOM CORPORATION
B5382,PREMIER LEATHER EXPORTS
B5383,PRACHI ENTERPRISES
B5384,HIMANGI FOODS PVT LTD
B5385,KHANNA TRADERS & ENGINEERS
B5386,ALPEX SOLAR PVT. LTD
B5387,HALDIRAM SNACKS PVT LTD
B5388,B K C GARMENTS LLP
B5389,Balaji Plywood Centre
B5390,PAVAG SPICES LLP
B5391,VN GLOBALS
B5392,SS MILLING AND ENGINEERING CO
B5393,Fairdeal Impex Pvt Ltd
B5394,LAL METAL FORGE LTD
B5395,ALASKA RUBBERS PVT LTD
B5396,EVERGREEN BAMBOO INDIA PRIVATE LIMITED
B5397,HINDUSTAN ENGINEERING
B5398,RETCHAKAR CREATIONS
B5399,SHIV SHANKAR TEXTILES
B5400,HINDUSTANI BOOK DEPOT
B5401,QUBA AGRO
B5402,NAAZ HANDICRAFTS
B5403,CONTINENTAL INDIA PRIVATE LIMITED
B5404,Laxmi Remote India Pvt Ltd
B5405,Agrawal Scientific And Handicrafts
B5406,SB TRADE IN PVT LTD
B5407,COLLECTIVE CREATIONS
B5408,PG ELECTROPLAST LIMITED
B5409,MAHAVIR SPINFAB PVT.LTD.
B5410,XION LITES
B5411,TAKKAR INDUSTRIES
B5412,FATHIMA EXPORT COMPANY
B5413,SWADESHI AGENCIES
B5414,VANSH POLYPACK LLP
B5415,SPARK FIBRES
B5416,M S EXPORT
B5417,SARA-TRANS EXPORT CORPORATION
B5418,LAKSHMI GLASS DECORATOR
B5419,SOFIA EXPORT
B5420,Zippo Mobiles Pvt Ltd
B5421,Syndicate Innovations International Limited
B5422,AGRICARE CORPORATION
B5423,SANTWANI BROTHERS PRIVATE LIMITED
B5424,S.K. GLASS TRADERS
B5425,SAMPARK INDUSTRIES LTD.
B5426,Ingersoll Rand Technologies & Services Pvt Ltd
B5427,MKM RUBBER PVT LTD
B5428,S S IMPORTS
B5429,NATURE WOOD PRODUCTS
B5430,YUEDU TECHNOLOGY PVT LTD
B5431,BTN-INSULO INDIA PVT LTD
B5432,GO IP GLOBAL SERVICES  P  LTD.
B5433,SNOWWHITE INFRASTRUCTUE PRAVATE LIMITED
B5434,STANDARD EQUIPMENTS
B5435,Cmu Metals Private Limited
B5436,SNSGAP INTERNATIONAL SERVICES PVT LTD
B5437,Indeutsch Industries Private Limited
B5438,FLIER INDUSTRIES PVT  LTD
B5439,JJ TRADELINKS PVT.LTD
B5440,OMAXE INTERNATIONAL BAZAAR PRIVATE LIMITED
B5441,ZAIBUNCO INDUSTRIES PRIVATE LIMITED
B5442,SHRI SAI CORPORATION
B5443,EPACK DURABLES SOLUTIONS PRIVATE LIMITED
B5444,SS PAPER CONVERTORS
B5445,ZULFIQAR AND COMPANY
B5446,FUDA AUTOMATION PRIVATE LIMITED
B5447,G.S.R INDUSTRIES
B5448,DESIGNCO PRIVATE LIMITED
B5449,A Y INCORPORATION
B5450,SHINE TEXTILES PVT.LTD.
B5451,SEN EN MIRZA INDUSTRIAL SUPPLY CHAIN
B5452,SURABHI ENTERPRISES PRIVATE LIMITED
B5453,S S ENTERPRISES.
B5454,velox switch gears
B5455,G.R.CORPORATION
B5456,GEE CEE MINERALS
B5457,T.V. TODAY NETWORL LIMITED
B5458,VICTOR PUSHIN CORDS PVT. LTD.
B5459,METEC Electronics Pvt Ltd
B5460,ZEENAT HANDICRAFTS
B5461,GALLANT ISPAT LIMITED
B5462,Shahid Traders
B5463,VONDA TECHNOLOGY  PRIVATE LIMITED
B5464,STANGLOBE LLP
B5465,Neelkanth impex
B5466,THAMES STEELS PVT. LTD.
B5467,HICKS THERMOMETERS  I  LTD
B5468,VECTUS INDUSTRIES LIMITED
B5469,GANPATI NATURAL PRODUCTS
B5470,HAMMING TECHNOLOGY PVT LTD
B5471,S.M.S.N. CONTINENTAL PRIVATE LIMITED
B5472,DECOAT ENTERPRISES
B5473,SHREE BABA GAURI SHANKER FOOD PRODUCTS
B5474,VIBRACOUSTIC NOIDA PVT LTD
B5475,DEVTARA INC
B5476,DELTA ENTERPRISES
B5477,SARAS PAPER INTERNATIONAL
B5478,TDH IMPORT
B5479,PRAYAG CLAY PRODUCTS PRIVATE LIMITED
B5480,Tirubala Exports  India  Private Limited
B5481,TFF RESOURCE MANAGEMENT & SOLUTION PVT.LTD.
B5482,LAZZLE SINK PRIVATE LIMITED
B5483,ARCHITA ESSENTIALS PRIVATE LIMITED
B5484,FOOTCARE COMPONENTS
B5485,TEXCHEM GLOBAL
B5486,EXCEL TRADING CO
B5487,STERLING COMPONENTS INDIA PVT LTD
B5488,SVAMYARTHA SHIPPING & TRADING SOLUTIONS
B5489,JAS POLYCHEM PVT LTD
B5490,AYRA ENTERPRISES
B5491,SunSource Energy Pvt. Ltd.
B5492,TPI UNDERCARRIAGE PVT. LTD.
B5493,MUSKAN INDUSTRIES
B5494,True Value International
B5495,J  M FOOTWEAR EXPORTS PRIVATE LIMITED
B5496,ALLIED GLASSES PVT LTD
B5497,satvik polychem pvt.ltd
B5498,METALS AND MARBLES INDIA
B5499,SANGAL PAPERS LIMITED
B5500,MYGREEN ENVIROPRODUCTS PRIVATE LIMITED
B5501,OCEAN INTERNATIONAL
B5502,OVT INDIA PRIVATE LIMITED
B5503,Aethon International LLP
B5504,STAR ALUMINIUMS
B5505,BHANDARI ENTERPRISES
B5506,SVO FOOTWEAR EXPORTS PRIVATE LIMITED
B5507,DRS CHEMICALS LLP
B5508,SHAMLI STEELS PVT LTD
B5509,SHAHID HANDICRAFTS
B5510,Chenfeng Tech Private Limited
B5511,GLOW GREEN ENERGY LIMITED
B5512,Zain International
B5513,BACO METALLIC INDUSTRIES
B5514,DHARAMPAL SATYAPAL LIMITED
B5515,KHY ELECTRONIC INDIA PRIVATE LIMITED
B5516,VINAYAK GIFTS
B5517,AMERICAN PRECOAT SPECIALITY PVT LTD
B5518,VISHAL IMPEX
B5519,SHREE NAMO ALLOYS
B5520,STARTECH INDIA
B5521,Delux Chemicals and Minerals
B5522,AGC CHMICALS PVT. LTD.
B5523,INDUS KLEED EXPORTS PRIVATE LIMITED
B5524,RAJPUTANA RICE PVT LTD
B5525,TRIVDHI PRESCIENCE  3PL LOGISTICS  PVT LTD
B5526,KOTHARI FERMENTATION AND BIOCHEM LTD
B5527,SHRI KRISHNA SHIKSHA SAMITI
B5528,DESIGN HUT
B5529,NARAYANI NATURALS
B5530,AJAY POLY PVT LTD
B5531,SK Trading
B5532,TAIDA IMPEX PVT LTD
B5533,COGNARA SOLUTIONS PRIVATE LIMITED
B5534,KFY SMART FURNITURE TECHNOLOGY PRIVATE LIMITED
B5535,SEQUEL ALLOYS & WIRES PVT LTD
B5536,Techno Aircon Industries Pvt Ltd
B5537,PRACHI LEATHERS PVT. LTD.
B5538,ARS GLOBAL PRIVATE LIMITED
B5539,WICTOR CHEMICALS INDIA PRIVATE LIMITED
B5540,ENAYAT OVERSEAS
B5541,EKTA FRAGRANCES & FLAVOURS
B5542,Hexagon Metrology India Pvt. Ltd.
B5543,IBRAHIM INTERNATIONAL LIMITED
B5544,LEMA POLYPACK PVT LTD
B5545,FLEX PAC GLOBAL
B5546,THE INKS INDIA
B5547,GOOD LUCK METAL INDUSTRIES
B5548,METOWELD ELECTRO INDIA PVT LTD
B5549,Prosper Group
B5550,ILGCROWN LEATHERS PRIVATE LIMITED
B5551,UNITED CHEMICAL INDUSTRIES
B5552,SUPERLITE JOINTINGS PRIVATE LIMITED
B5553,AVAADA ENERGY PRIVATE LIMITED
B5554,MINGJI TECHNOLOGIES PRIVATE LIMITED
B5555,VACMET INDIA LIMITED
B5556,Delta hardware
B5557,HKHR INTERNATIONAL
B5558,HOME ESSENTIALS INC
B5559,"3R EXIM PVT LTD"
B5560,Ojas Industries
B5561,PAN PARAG INDIA COMPANY
B5562,Priyam Enterprises
B5563,S.R International
B5564,EVEREST TANNERY PRIVATE LIMITED
B5565,Bharat Textile Corporation
B5566,SHALINI TRADING CONSULTANTS
B5567,A.M. Glass International
B5568,MARIA INTERNATIONAL
B5569,COMET INDIA
B5570,SAKSHAM GLASS TRADING CO.
B5571,JAIN CORD INDUSTRIES PVT LTD
B5572,M.A. QURESHI AND Company
B5573,ROMSONS INTERNATIONAL
B5574,TEQUEST
B5575,DJ EXPORT & IMPORT
B5576,Khushi Graphics
B5577,Vaishno Trading Company
B5578,LUCKY EXPORTS
B5579,SALAR OVERSEAS EXPORTS
B5580,BELL FASHIONWEAR PRIVATE LIMITED
B5581,TORPEDO SHOES (P) LTD
B5582,Bajwa Rubber Industries
B5583,SUNPLAST ELECTRONICS PRIVATE LIMITED
B5584,EVEREST EXPORTS
B5585,ALASKA EXPORTS
B5586,CLIFF SCAFFOLDINGS PRIVATE LIMITED
B5587,SAR INTERNATIONAL
B5588,HAVELLS INDIA LIMITED
B5589,TRANSPARENT OVERSEAS
B5590,INTERNATIONAL AGRO FOODS
B5591,GARG INDUSTRIES
B5592,KANISHK METALLOYS
B5593,BENSON SPORTS & ATHLETICS
B5594,K.S.ENTERPRISES
B5595,ALPS INDUSTRIES LTD
B5596,ASHTHVINAYAK AND COMAPNY
B5597,Paharpur Cooling Tower Limited
B5598,NS MARKETING
B5599,CAMIO EXPORTS PVT LTD
B5600,AGNI
B5601,BKP ENTERPRISES
B5602,PARAM INTERNATIONAL.
B5603,UNIQUE FOAM INTERNATIONAL
B5604,M/S ocean paradise logistics pvt ltd
B5605,SDS INFRATECH PVT LTD
B5606,RAJENDRA CHEMICALS
B5607,SPRINT INDIA IMAGINGS PVT LTD
B5608,IQBAL LEATHERS PVT LTD
B5609,SIGMA BUTTONS
B5610,DEV RUBBER FACTORY PVT. LTD.
B5611,STANDARD ELECTRICAL INDUSTRIES
B5612,DESIGNERS POINT INDIA PVT LTD
B5613,SAHU MINERALS AND CHEMICALS
B5614,RELIABLE PACKAGING
B5615,TO BE HEALTHY FOODS PRIVATE LTD
B5616,RPL INDUSTRIES LIMITED
B5617,SAP IMPEX
B5618,SMC CORPORATION INDIA PVT. LTD.
B5619,Exun Biocell Private Limited
B5620,Romsons Scientific & Surgical Industries Pvt. Ltd.
B5621,Madhur Ceramics Pvt. Ltd.
B5622,S S International
B5623,METAL MAKERS MART
B5624,AVJA VENTURES PRIVATE LIMITED
B5625,ADEPT IMPEX PVT LTD
B5626,RAF STATIONARY MFG CO
B5627,RAMABORS EXIM LLP
B5628,SHIV INTERNATIONAL.
B5629,PROACTIVE PLAST PRIVATE LIMITED
B5630,DIXON GLOBAL PVT LTD
B5631,SYNERGY ELECTRICALS & AUTOMATION
B5632,ROMSONS JUNIORS INDIA
B5633,AF EXPORTS
B5634,JINDAL QUALITY TUBULAR LTD
B5635,ANCHOR CHAINS
B5636,EXEDY INDIA LIMITED
B5637,ACQUAVIVA INDIA PVT LTD
B5638,KINJAL ELECTRICALS PVT LTD
B5639,INJECTOPLAST PRIVATE LIMITED
B5640,JBM OGIHARA DIE TECH PRIVATE LIMITED
B5641,HARI OM UDYOG
B5642,DIXON TECHNOLOGIES INDIA LIMITED
B5643,DANSN INTERNAITONAL PRIVATE LIMITED
B5644,GLOBAL STEEL TRADING CO
B5645,COOPER STANDARD INDIA PVT LTD
B5646,U.G.Engineering Private Limited
B5647,Parfait lingierie india pvt ltd
B5648,MV VENTURES
B5649,ASSOMAC MACHINES LIMITED
B5650,MEZETECH POWER INDIA PVT LTD
B5651,POWER DUO INDUSTRIES
B5652,SOOTHE HEALTHCARE PRIVATE LIMITED
B5653,CHENYANG ELECTRONICS INDIA PVT LTD
B5654,Ghaziabad Technocrate Consultants Pvt Ltd
B5655,KWALITY BRAKES COMPANY
B5656,VIJAY SHANKER VINAY KUYMAR
B5657,ALMASS INTERNATIONAL
B5658,DEEPAK AGRO PRIVATE LIMITED
B5659,POOJA PRODUCTS INDIA
B5660,OXYTEK COMPONENTS PRIVATE LIMITED
B5661,J R S POLYMERS
B5662,METAFLEX DOORS INDIA PVT LTD
B5663,CONNECT INDIA INC
B5664,HAIQI EXHIBITION PRIVATE LIMITED
B5665,INTERIORS DECORATION & HANDICRAFTS
B5666,PARADISE AUTO AND ELECTRICALS
B5667,SPARSH INDUSTRIES PVT LTD
B5668,SANJAY TRADERS
B5669,UNIQUE  INTERNATIONAL
B5670,DEEPAK JAIN ENTERPRISES
B5671,ISMAIL EXPORTS
B5672,MANDEEP CABLES PVT. LTD.
B5673,ALASKA MULTIPOLYMERS PVT. LTD.
B5674,PUJA TRADERS
B5675,HIMALAYAN HORSE CARE PRODUCTS PVT. LTD.
B5676,SURBHI TELELINK PVT LTD
B5677,Kiran International
B5678,TENTECH LED DISPLAY PRIVATE LIMITED
B5679,Agarwal import export incorporation
B5680,G.R.BIOURE SURGICAL SYSTEM PRIVATE LIMITED
B5681,RFB LATEX LIMITED
B5682,DIA33 ENTERPRISES INDIA LLP
B5683,REX PRINTING & BINDRY EQUIPMENTS PVT.LTD.
B5684,VIDYA CHEMICALS
B5685,S.K. EXPORTS
B5686,GOVINDA HANDICRAFTS
B5687,DYNAMIC COMPONENTS PVT.LTD.
B5688,ARPAN FRAGRANCES PVT.LTD.
B5689,seven hills corporationn
B5690,APSARA ENTERPRISES
B5691,MEDICO ELECTRODES INTERNATIONAL LIMITED
B5692,BARK TECHNOLOGIES
B5693,GOYAL BROTHERS PRAKASHAN
B5694,VIMAL PLAST  INDIA PVT.LTD.
B5695,KLA Foods (India) Limited
B5696,FORACE POLYMERS PVT LTD
B5697,ASHISH AGRI FOODS PVT LTD
B5698,KLA India Public Limited
B5699,Pashupati Laminators Pvt. Ltd
B5700,A P RUBBER INDUSTRIES
B5701,Encraft India Pvt Ltd
B5702,FLEX FOODS LIMITED
B5703,KASA LIGHTS & ELECTRONICS PVT LTD
B5704,STERLITE POWER TRANSMISSION LIMITED
B5705,VEENA ENTERPRISES LIMITED
B5706,AAY CEE ENTERPRISES
B5707,Sahota Papers Limited
B5708,OM SAI PHARMA PACK
B5709,PASHUPATI EXTRUSIONS PVT LTD
B5710,Galwalia Ispat udyog pvt ltd
B5711,MAKINO AUTOMOTIVE
B5712,FORACE INDUSTRIES PVT. LTD.
B5713,ACME INDUSTRIES
B5714,Radical Plast Pack Pvt. Ltd.
B5715,INFINITE WATER SOLUTIONS PVT. LTD.
B5716,Bakers Circle India Pvt Ltd
B5717,UPTODATE PLASTICS AND PACKAGINGS PRIVATE LIMITED
B5718,FINOLEX CABLES LTD
B5719,CHEEMA PAPERS LIMITED
B5720,UTTRANCHAL PULP AND PAPER MILLS PVT LTD
B5721,UI FABRICATORS PVT. LTD
B5722,BALAJI ACTION BUILDWELL
B5723,R P AUTOSTYLES
B5724,UNIVERSAL INDUSTRIES
B5725,NEEDLE EYE PLASTIC INDUSTRIES PVT LTD
B5726,EMBRO POLLY PRODUCTS
B5727,GREEN PINE INDUSTRIES
B5728,KMC ELECTRONICS PVT LTD
B5729,AVEENA MILK PRODUCTS
B5730,HINDUSTAN ADHESIVES LTD
B5731,GUPTA POWER INFRASTRUCTURE LTD
B5732,ULTIMATE FLEXIPACK LTS
B5733,INDO DUTCH HORTICULTURE TECHNOLOGIES P LTD
B5734,MG TRADERS
B5735,MULTIWAL PULP AND BOARD MILLS PVT LTD
B5736,PIONEER POLYLEATHERS LIMITED
B5737,VISHIWANATH PAPER AND BOARDS LIMITED
B5738,EAST WEST PRODUCTS LTD
B5739,Clariant IGL Specialty Chemicals Pvt. Ltd.
B5740,MULTIWAL DUPLEX PRIVATE LIMITED
B5741,CAMPUS ACTIVEWEAR PVT LTD
B5742,U.S.METAL PRODUCTS
B5743,DOON OPTICAL SYSTEMS PRIVATE LIMITED
B5744,INTEC CORPORATION
B5745,MANAGE CHEMICALS PVT LTD
B5746,MEGHDOOT PACKAGING  UTTARANCHAL
B5747,GEMTREE NATURAL PRODUCE PVT. LTD.
B5748,Darrameks Hotels & Developers Pvt ltd
B5749,J K PARAS POLYCOATS LTD
B5750,SHEEL CHAND AGROILS PVT LTD
B5751,Red rose flocking industries
B5752,VISION METAL AIDS P LTD
B5753,MAHALAXMI INDUSTRIES
B5754,VISHVAKARMA PAPER & BOARDS LTD.
B5755,KKG INDUSTRIES
B5756,SHANTI REFRIGERATION INDUSTRIES PVT LTD
B5757,BANWARI PAPER MILLS LIMITED
B5758,ITRON INDIA PRIVATE LIMITED
B5759,KASHI VISHWANATH STEELS PVT. LTD.
B5760,Akums Drugs & Pharmaceuticals Limited
B5761,SHREE BANKEY BIHARI METALS
B5762,CANADIAN SPECIALITY VINYLS
B5763,UP ALUMS PRIVATE LIMITED
B5764,LUMAN INDUSTRIES LTD.
B5765,MEDROX OVERSEAS
B5766,SYNOKEM PHARMACEUTICALS
B5767,IVCM STAR INDIA PVT. LTD.
B5768,ANDS LITE PVT LTD
B5769,NATIONAL PLASTO MOULDING
B5770,DRIPLEX WATER ENGINEERING INTERNATIONAL PVT. LTD
B5771,RAJLAKSHMI PAPER & BOARDS  P   LTD
B5772,Nanofil Technologies Pvt. Ltd.
B5773,AXA PARENTERALS LTD
B5774,Naini Papers Limited
B5775,DEVRISHI PAPERS PVT.LTD.
B5776,KARAM SAFETY PRIVATE LIMITED
B5777,Shivalik Emterprises
B5778,Pashupati Polytex Pvt. Ltd
B5779,BAGLA POLIFILMS LTD
B5780,Psb Papers Private Limited
B5781,ITC LTD
B5782,KARAM INDUSTRIES
B5783,Automat Irrigation Pvt Ltd
B5784,Kam Tech Solar Power Products Private Limited
B5785,Abhishek Gupta
B5786,DHUNSERI PETROCHEM LIMITED
B5787,MURLIDHAR RATANLAL EXPORTS LIMITED
B5788,MANGAL STEEL ENTERPRISES LTD.
B5789,GANGA RASAYANIE PVT LTD.
B5790,SAI INDUSTRIES P LTD
B5791,Marcus Oils & Chemicals Pvt. Ltd.
B5792,RAJDA INDUSTRIES & EXPORTS PRIVATE LIMITED
B5793,A. R. SULPHONATES PVT LTD
B5794,VIKRMA IMPEX PVT. LTD.
B5795,NIF ISPAT LTD
B5796,AI CHAMPDANY INDUSTRIES LTD
B5797,SKM AGRO PVT LTD
B5798,VITHIKA ALMAL JALAN
B5799,EHSANMANN TRADING CONCERN
B5800,ASIAN TEA COMPANY PRIVATE LIMITED
B5801,IMPERIAL FRUIT PRESERVING CO.
B5802,THE JOREHAUT TEA LIMITED
B5803,Crescent Foundry Co Pvt Ltd
B5804,BAY SEAFOOD PVT. LTD.
B5805,EMAMI LIMITED
B5806,SHREE BALAJI EXPORTS
B5807,SEA PRODUCTS INDIA PRIVATE LIMITED
B5808,EASTERN ELECTRODES & COKE PVT LTD
B5809,BIRLA CORPORATION LIMITED UNIT-BIRLA JUTE MILLS
B5810,Shivam Iron and Steel Co. Ltd.
B5811,PRAGATI EDIBLE PROCESSING PRIVATE LIMITE
B5812,GLOBAL EXIM PVT LTD
B5813,Acromont Corporation
B5814,JIWANRAM SHEODUTTRAI INDUSTRIES PVT LTD
B5815,CALCUTTA OVERSEAS CORPORATION
B5816,GLOBAL DRIED FLOWERS
B5817,Reyansh Exports Pvt Ltd
B5818,AVIMA EXPORTS (P) LTD.
B5819,Calcutta Export Company
B5820,GOODRICKE GROUP LIMITED
B5821,MATHON ELECTRIC MOTORS INDIA LIMITED
B5822,CALCUTTA SEA FOODS PRIVATE LIMITED
B5823,GAUTAM VANIJYA PRIVATE LIMITED
B5824,COASTAL PACKAGERS PVT. LTD.
B5825,Madhu Jayanti International Private Limited
B5826,ELECTROSTEEL CASTINGS LTD
B5827,SYDNEY AGENCIES PRIVATE LIMITED
B5828,MAGNUM EXPORT
B5829,SUPER SMELTERS LIMITED
B5830,DEEPS TEXSTYLES PVT. LTD.
B5831,BADRUDDOJA & SONS
B5832,KOPELL GROUNDING SYSTEMS PVT LTD
B5833,MOHAN JUTE BAGS MFG CO
B5834,AMRFEO PRIVATE LIMITED
B5835,R B AGARWALLA & CO
B5836,SATVIK  ENTERPRISES  LIMITED
B5837,ELQUE & CO.
B5838,AARUSHI SALES PRIVATE LIMITED
B5839,EDCONS EXPORTS PRIVATE LIMITED
B5840,S M INTERNATIONAL
B5841,IV Creation Private Limited
B5842,Junior
B5843,P C CHANDA & CO. PRIVATE LIMITED
B5844,Godfrey Phillips India Limited
B5845,ARIHANT INTERNATIONAL
B5846,TIRUPATI INTERNATIONAL
B5847,Govind Steel Company Limited
B5848,MALLCOM  INDIA  LIMITED
B5849,BALAJI EXIM ENTERPRISES PRIVATE LIMITED
B5850,ASSAM COMPANY INDIA LIMITED
B5851,APEEJAY TEA LIMITED
B5852,RAMA OVERSEAS LTD.
B5853,MIDA & COMPANY PRIVATE LIMITED
B5854,OTHELLO GLOBAL LLP
B5855,ANKITA ENTERPRISE
B5856,SARAOGI SHELLAC OVERSEAS CORP
B5857,ZENITH APEX PRIVATE LIMITED
B5858,BENGAL METALS
B5859,JAY SHREE TEA AND INDUSTRIES LTD.
B5860,Anjaney Ferro Alloys Limited
B5861,GLOBAL CASTINGS PRIVATE LIMITED
B5862,Modi Niryaat
B5863,ORCHID INTERNATIONAL
B5864,M. K. SHAH EXPORTS LTD
B5865,THE NAIHATI JUTE MILLS COMPANY LIMITED
B5866,DELTA PLUS  INDIA  PVT.LTD.
B5867,BINAYAK HI-TECH ENGINEERING PVT LTD
B5868,PACIFIC JUTE LIMITED
B5869,Tata International Ltd.
B5870,EVEREST ALUMINIUM PVT LTD
B5871,McLEOD RUSSEL INDIA LIMITED
B5872,UMA UDYOG
B5873,Kamrup Tea Company
B5874,TECHNO TANK INDUSTRIES
B5875,WELCAST INDIA PRIVATE LIMITED
B5876,Shree Krishna Electricals
B5877,Ebad Exports Pvt.Ltd
B5878,IFB AGRO INDUSTRIES LIMITED
B5879,KAJARIA IRON & STEEL CO. PVT. LTD.
B5880,MOHAN JUTE LTD
B5881,SWISS SINGAPORE INDIA PVT. LTD.
B5882,Supreme & Co Pvt Ltd
B5883,SRINIDHI CONSULTANCY
B5884,SUPER IRON FOUNDRY
B5885,PATTON INTERNATIONAL LIMITED
B5886,CALCUTTA SPRINGS LIMITED
B5887,MITTAL POLYPACKS PRIVATE LIMITED
B5888,SMART LEATHER PRODUCTS
B5889,BAGHMARI TEA COMPANY LTD
B5890,LOGAN MINERALS PVT LTD
B5891,TEA PROMOTERS INDIA
B5892,USHA MARTIN LIMITED
B5893,TEX TRENDS INDIA
B5894,GOEL ALLOY & STEEL PRIVATE LIMITED
B5895,BALAJI AGRO PVT. LTD.
B5896,TATA GLOBAL BEVERAGES LIMITED
B5897,TANKESHWARI METAL POWDER PRODUCTS PRIVATE LIMITED
B5898,OCTOPUS AGRO BIONATURALS PRIVATE LIMITED
B5899,Shri Maa Polyfabs Limited (Unit-II)
B5900,Lindsay International Pvt.Ltd.
B5901,Hemraj Industries Private Limited
B5902,GLOSTER LIMITED
B5903,SAI FERTILIZERS & PHOSPHATES PVT LTD
B5904,J.M.LEATHERS
B5905,P K AGRI LINK PRIVATE LIMITED
B5906,J. J. UDOG
B5907,SAKAMBARI CORDAGE CO PRIVATE LIMITED
B5908,AKJ INDUSTRIES PRIVATE LIMITED
B5909,NUPUR VINIYOG P LTD
B5910,BALASORE ALLOYS LIMITED
B5911,MORTEX (INDIA)
B5912,Blackstone Overseas Private Limited
B5913,NSI (INDIA) LIMITED
B5914,JINDAL (INDIA) LIMITED
B5915,LA OPALA RG LIMITED
B5916,PEET AAMBER INDUSTRIES
B5917,GEE LIMITED
B5918,S. D. INTERNATIONAL
B5919,PACHARIA EXPORTS PRIVATE LIMITED
B5920,SABOO COTSPIN  P  LTD
B5921,KHAITAN RICE  MILL PVT LTD
B5922,G D ENTERPRISE
B5923,Dinesh Brothers PRIVATE LIMITED
B5924,GAYSON & CO.(P) LTD.
B5925,HI-TECH INFORMATION & MARKETING PVT. LTD.
B5926,Weaverly Jute Mills Pvt. Ltd.
B5927,ASHOKA EXPORTS
B5928,BROWN VINIMAY PRIVATE LIMITED
B5929,S.M. NIRYAT PRIVATE LIMITED
B5930,BORIS IMPORT & EXPORT COMPANY
B5931,CHEVIOT COMPANY LIMITED
B5932,PODDAR MERCANTILE PRIVATE LIMITED
B5933,NEW TEA COMPANY LTD
B5934,Ramkrishna Forgings Limited
B5935,APICAL EXIM PVT LTD
B5936,BENGAL QUALITY METALPRODUCTS PRIVATE LIMITED
B5937,KARIWALA INDUSTRIES LTD
B5938,ASHIRWAD FOUNDRIES
B5939,BANSAL BISCUITS PRIVATE LIMITED
B5940,UTKAL MOULDERS (PRO UTKAL MOULDINGS PVT. LTD.)
B5941,JAY BABA BAKRESWAR RICE MILL PVT. LTD.
B5942,ELOQUENT EXIM PVT LTD
